"tot_votes","paul_pct","County","per_capita_income","pop_dens","pop_2015","pct_bachelor_deg","pct_reg_repubs","pct_reg_males","pct_65_and_older","log_pop_2015","coal_2015_pct_chg","region","senate_dist","pct_non_white","outcome","fitted","resids"
4915,68.9318,"Owen",34589,30.5611,10730,15.9,0.3064,0.4954,62.6994,9.2808,0,21187,"other",5.2097,"w",61.4885353887897,7.44326461121025
1641,70.6886,"Owsley",28741,22.5976,4461,12.4,0.7067,0.4899,150.8104,8.4031,-100,21189,"other",2.7124,"w",75.7341159046604,-5.04551590466042
5869,74.5613,"Pendleton",33951,51.9844,14408,12.4,0.381,0.4919,46.6939,9.5755,0,21191,"other",3.158,"w",64.6173355939406,9.94396440605945
10190,61.9235,"Perry",35148,81.1523,27565,13.5,0.2538,0.4812,24.4065,10.2243,-49.87,21193,"other",4.3388,"w",59.7057013554351,2.21779864456486
23715,60.8096,"Pike",33354,78.5328,61792,12.5,0.2702,0.4879,10.8876,11.0315,-56.56,21195,"other",2.9001,"w",59.3054323182244,1.50416768177561
4889,54.4897,"Powell",30572,68.5496,12269,11.9,0.2741,0.484,54.8345,9.4148,0,21197,"other",3.4477,"w",60.1195051059801,-5.62980510598012
27619,72.3089,"Pulaski",35823,96.8728,63782,15.1,0.691,0.4735,10.5479,11.0632,0,21199,"other",5.3777,"w",71.4199563265799,0.888943673420094
994,65.3924,"Robertson",30034,21.3993,2138,12.5,0.1947,0.5092,314.6703,7.6676,0,21201,"other",2.8531,"w",63.5788718860059,1.81352811399412
6503,75.1807,"Rockcastle",29138,53.5208,16942,10.9,0.7614,0.4806,39.7099,9.7376,0,21203,"other",2.6502,"w",74.8583579341683,0.322342065831723
8748,47.1308,"Rowan",28951,85.3896,23892,23.8,0.3017,0.471,28.1586,10.0813,0,21205,"other",5.4705,"l",53.7662762645064,-6.63547626450639
7965,74.1243,"Russell",31907,69.6286,17662,11.9,0.7418,0.4798,38.0911,9.7792,0,21207,"other",5.9676,"w",74.765316829829,-0.641016829829039
24173,55.1855,"Scott",39415,186.0383,52420,27.9,0.441,0.4814,12.8341,10.867,0,21209,"other",12.8844,"w",59.7199935168132,-4.53449351681325
20488,60.8991,"Shelby",39613,120.1981,45632,23.8,0.4415,0.4717,14.7433,10.7284,0,21211,"other",19.1708,"w",61.5522777226998,-0.653177722699765
7437,64.7976,"Simpson",34139,76.883,18006,14.8,0.3231,0.4671,37.3634,9.7985,0,21213,"other",15.0172,"w",60.6713382897738,4.12626171022618
9436,68.3234,"Spencer",40375,95.8539,17894,16.6,0.4732,0.4968,37.5972,9.7922,0,21215,"other",5.6667,"w",67.9552674797286,0.368132520271393
11137,65.3318,"Taylor",33309,95.4455,25420,15.1,0.5171,0.4659,26.466,10.1433,0,21217,"other",9.9685,"w",65.8686178268607,-0.536817826860741
4684,75.0213,"Todd",35344,33.4606,12531,9.4,0.2631,0.4736,53.6881,9.436,0,21219,"other",14.3724,"w",62.3650695947889,12.6562304052111
6661,71.3106,"Trigg",34991,32.2429,14233,18.4,0.3985,0.4826,47.268,9.5633,0,21221,"other",11.8738,"w",62.6025477265918,8.70805227340825
3760,61.8617,"Trimble",33644,57.8239,8769,16.1,0.2406,0.4921,76.7208,9.079,0,21223,"other",5.7133,"w",59.1633931305547,2.69830686944531
6142,62.5204,"Union",34286,43.8967,15050,11.4,0.1976,0.4856,44.702,9.6191,-25.9,21225,"fourth",17.3156,"w",59.3908775065234,3.12952249347656
48379,60.332,"Warren",35966,226.8298,122851,28.4,0.4073,0.4618,5.4763,11.7187,0,21227,"other",20.2237,"w",54.8503864302249,5.48161356977507
5556,60.5652,"Washington",36694,40.5793,12063,15.6,0.3511,0.4771,55.771,9.3979,0,21229,"other",12.0617,"w",63.0102504545587,-2.44505045455865
7692,67.0567,"Wayne",27508,44.6646,20464,9.8,0.6057,0.4854,32.8755,9.9264,0,21231,"other",6.421,"w",69.8483698936971,-2.79166989369711
5708,65.0315,"Webster",36870,39.6758,13170,8.4,0.2315,0.4797,51.0831,9.4857,2.45,21233,"fourth",11.139,"w",62.5089948963139,2.52250510368607
13543,71.9781,"Whitley",32100,82.5183,36129,13.4,0.7141,0.482,18.6212,10.4949,-52.13,21235,"other",4.2238,"w",72.8654091385318,-0.887309138531851
2575,50.7573,"Wolfe",26264,32.6732,7259,11.8,0.1139,0.4921,92.6801,8.89,0,21237,"other",2.1904,"w",54.6930805769149,-3.9357805769149
13594,50.3016,"Woodford",45213,136.6299,25793,31.6,0.3857,0.467,26.0832,10.1579,0,21239,"other",13.7557,"w",58.7744934766852,-8.47289347668517
