"sch.year","district.name","composite.mean.score"
"2014","Shelby County",19.8
"2014","Silver Grove Independent",16.1
"2014","Simpson County",19.8
"2014","Somerset Independent",19.6
"2014","Spencer County",19.2
"2014","Taylor County",19
"2014","Todd County",18.4
"2014","Trigg County",18.6
"2014","Trimble County",19.9
"2014","Union County",18.4
"2014","Walton-Verona Independent",21.2
"2014","Warren County",20.4
"2014","Washington County",17.5
"2014","Wayne County",18.7
"2014","Webster County",18.7
"2014","Whitley County",19
"2014","Williamsburg Independent",19.4
"2014","Williamstown Independent",20.8
"2014","Wolfe County",17.6
"2014","Woodford County",20.7
"2014","Kentucky School for the Blind",NA
"2014","Kentucky School for the Deaf",NA
"2013","Adair County",18.1
"2013","Allen County",19.1
"2013","Anderson County",18.6
"2013","Ashland Independent",20.1
"2013","Augusta Independent",17.3
"2013","Ballard County",18.6
"2013","Barbourville Independent",17.9
"2013","Bardstown Independent",19.6
"2013","Barren County",19
"2013","Bath County",18.2
"2013","Beechwood Independent",25.3
"2013","Bell County",18.4
"2013","Bellevue Independent",18.7
"2013","Berea Independent",19.6
"2013","Boone County",21
"2013","Bourbon County",19.3
"2013","Bowling Green Independent",20.6
"2013","Boyd County",18.3
"2013","Boyle County",20.7
"2013","Bracken County",19.6
"2013","Breathitt County",17.3
"2013","Breckinridge County",18.5
"2013","Bullitt County",18.9
"2013","Burgin Independent",20.3
"2013","Butler County",17.9
"2013","Caldwell County",19.6
"2013","Calloway County",20
"2013","Campbell County",20.5
"2013","Campbellsville Independent",17.8
"2013","Carlisle County",18.2
"2013","Carroll County",18.6
"2013","Carter County",18.3
"2013","Casey County",19.1
"2013","Caverna Independent",16.7
"2013","Christian County",18.2
"2013","Clark County",19.2
"2013","Clay County",17.4
"2013","Clinton County",18.5
"2013","Cloverport Independent",17.9
"2013","Corbin Independent",20.1
"2013","Covington Independent",16.9
"2013","Crittenden County",19.3
"2013","Cumberland County",17.1
"2013","Danville Independent",18.9
"2013","Daviess County",19.6
"2013","Dawson Springs Independent",19.9
"2013","Dayton Independent",18.3
"2013","Edmonson County",19.1
"2013","Elizabethtown Independent",20.8
"2013","Elliott County",17.7
"2013","Eminence Independent",20.1
"2013","Erlanger-Elsmere Independent",19.2
"2013","Estill County",18.3
"2013","Fairview Independent",18.7
"2013","Fayette County",20.5
"2013","Fleming County",18
"2013","Floyd County",17.7
"2013","Fort Thomas Independent",23.4
"2013","Frankfort Independent",18.7
"2013","Franklin County",19.4
"2013","Fulton County",16.4
"2013","Fulton Independent",18.1
"2013","Gallatin County",18
"2013","Garrard County",18.8
"2013","Glasgow Independent",21.5
"2013","Grant County",18.3
"2013","Graves County",19.3
"2013","Grayson County",18.7
"2013","Green County",17.1
"2013","Greenup County",17.7
"2013","Hancock County",19.6
"2013","Hardin County",19.3
"2013","Harlan County",17.3
"2013","Harlan Independent",21
"2013","Harrison County",19.1
"2013","Hart County",17.8
"2013","Hazard Independent",19.9
"2013","Henderson County",19.3
"2013","Henry County",18
"2013","Hickman County",19.8
"2013","Hopkins County",19.3
"2013","Jackson County",17.5
"2013","Jackson Independent",21.1
"2013","Jefferson County",18.7
"2013","Jenkins Independent",19
"2013","Jessamine County",19.5
"2013","Johnson County",18.4
"2013","Kenton County",19.8
"2013","Knott County",17.2
"2013","Knox County",17.3
"2013","LaRue County",18.9
"2013","Laurel County",19.3
"2013","Lawrence County",18.2
"2013","Lee County",18
"2013","Leslie County",17.2
"2013","Letcher County",17.9
"2013","Lewis County",18.3
"2013","Lincoln County",19
"2013","Livingston County",19.6
"2013","Logan County",19.8
"2013","Ludlow Independent",18.8
"2013","Lyon County",18.6
"2013","Madison County",19.5
"2013","Magoffin County",16.3
"2013","Marion County",19.4
"2013","Marshall County",19.5
"2013","Martin County",16.9
"2013","Mason County",18.9
"2013","Mayfield Independent",18.1
"2013","McCracken County",20.1
"2013","McCreary County",16.9
"2013","McLean County",18.6
"2013","Meade County",19.6
"2013","Menifee County",16.8
"2013","Mercer County",19.2
"2013","Metcalfe County",18.7
"2013","Middlesboro Independent",17.9
"2013","Monroe County",18.5
"2013","Montgomery County",19.2
"2013","Monticello Independent",17.7
"2013","Morgan County",18.1
"2013","Muhlenberg County",18.5
"2013","Murray Independent",20.9
"2013","Nelson County",19.1
"2013","Newport Independent",17.2
"2013","Nicholas County",17.4
"2013","Ohio County",18.1
"2013","Oldham County",21.8
"2013","Owen County",19.2
"2013","Owensboro Independent",18.7
"2013","Owsley County",18.1
"2013","Paducah Independent",19.5
